metric_date,total_production_kg,total_energy_consumed_kwh,total_carbon_offset_kg,average_efficiency_percent,storage_utilization_percent,active_facilities_count,renewable_energy_percent
2024-10-10,3420,134750,35910,72,74,8,85
2024-10-09,3380,135200,35490,71,76,8,83
2024-10-08,3510,133900,36855,73,72,8,87
2024-10-07,3295,136500,34598,70,78,7,81
2024-10-06,3450,134200,36225,72,75,8,84
2024-10-05,3520,133500,36960,74,73,8,88
2024-10-04,3310,135800,34755,71,77,8,82
2024-10-03,3480,134600,36540,72,74,8,86
2024-10-02,3550,133200,37275,75,71,8,89
2024-10-01,3395,135500,35643,71,76,8,83
